id,created_at,z_rms_velocity_in_s,z_rms_velocity_mm_s,temperature_f,temperature_c,x_rms_velocity_in_s,x_rms_velocity_mm_s,z_peak_acceleration_g,x_peak_acceleration_g,z_peak_vel_comp_freq_hz,x_peak_vel_comp_freq_hz,z_rms_acceleration_g,x_rms_acceleration_g,z_kurtosis,x_kurtosis,z_crest_factor,x_crest_factor,z_peak_velocity_in_s,z_peak_velocity_mm_s,x_peak_velocity_in_s,x_peak_velocity_mm_s,z_high_freq_rms_accel_g,x_high_freq_rms_accel_g,fault,rpm
1435,2026-04-30 17:17:59.553873+00:00,0.0433,1.101,74.0,23.33,0.062,1.575,0.044,0.042,61.0,61.0,0.047,0.067,3.649,3.555,5.884,5.124,0.0613,1.558,0.0877,2.227,0.007,0.008,motor_desligado,0.0
1483,2026-04-30 17:20:02.207956+00:00,0.0431,1.095,74.0,23.33,0.0615,1.563,0.033,0.037,61.0,61.0,0.046,0.066,3.497,3.313,4.695,4.557,0.061,1.549,0.087,2.21,0.007,0.008,motor_desligado,0.0
1498,2026-04-30 17:20:32.210042+00:00,0.0431,1.096,74.0,23.33,0.0613,1.559,0.034,0.036,61.0,61.0,0.046,0.066,3.45,3.464,4.721,4.385,0.061,1.551,0.0868,2.205,0.007,0.008,motor_desligado,0.0
1499,2026-04-30 17:20:34.209741+00:00,0.0426,1.084,74.0,23.33,0.0613,1.559,0.032,0.032,61.0,61.0,0.046,0.066,3.269,3.412,4.476,3.95,0.0603,1.533,0.0868,2.205,0.007,0.008,motor_desligado,0.0
1540,2026-04-30 17:21:56.214524+00:00,0.0428,1.088,74.05,23.36,0.0616,1.565,0.032,0.041,61.0,61.0,0.046,0.066,3.265,3.468,4.401,5.017,0.0605,1.539,0.0871,2.214,0.007,0.008,motor_desligado,0.0
1579,2026-04-30 17:23:14.219224+00:00,0.0426,1.084,74.05,23.36,0.0617,1.568,0.028,0.039,61.0,61.0,0.046,0.066,3.222,3.34,4.053,4.861,0.0603,1.533,0.0873,2.217,0.007,0.008,motor_desligado,0.0
1583,2026-04-30 17:23:22.219771+00:00,0.0435,1.107,74.0,23.33,0.0615,1.564,0.031,0.039,61.0,61.0,0.046,0.066,3.235,3.33,4.357,4.778,0.0616,1.565,0.0871,2.212,0.007,0.008,motor_desligado,0.0
1663,2026-04-30 17:26:02.228929+00:00,0.0432,1.098,74.0,23.33,0.0621,1.578,0.031,0.034,61.0,61.0,0.046,0.067,3.351,3.193,4.382,4.192,0.0611,1.553,0.0878,2.231,0.007,0.008,motor_desligado,0.0
1704,2026-04-30 17:27:24.233952+00:00,0.0432,1.099,73.96,23.31,0.0616,1.565,0.029,0.045,61.0,61.0,0.046,0.066,3.226,3.633,4.169,5.432,0.0611,1.554,0.0871,2.213,0.007,0.008,motor_desligado,0.0
1787,2026-04-30 17:36:49.831530+00:00,0.047,1.195,73.35,22.97,0.0702,1.784,0.125,0.171,61.0,61.0,0.057,0.079,5.411,5.425,5.682,5.386,0.0665,1.69,0.0993,2.523,0.022,0.031,normal,500.0
1852,2026-04-30 17:38:59.839548+00:00,0.0487,1.238,72.98,22.76,0.0763,1.938,0.333,0.466,61.0,61.0,0.063,0.09,2.158,2.283,2.812,3.671,0.0689,1.751,0.1079,2.741,0.118,0.127,normal,500.0
